,Symbol,4Y_Geometric_Avg_ROIC,Status,Years_Available,PB_Ratio,4Y_Geometric_Avg_ROIC_Pct
59,BRK-B,,Success,4,0.001075039568576,nan%
93,CNC,0.069687789827001,Success,4,0.515483316010179,6.97%
362,PSKY,0.060413969311625,Success,4,0.607523840310328,6.04%
322,TAP,0.077792753068962,Success,4,0.740333854366355,7.78%
278,KHC,0.084839449601722,Success,4,0.77767598980848,8.48%
473,VTRS,0.01572038585301,Success,4,0.780489630905143,1.57%
328,MOS,0.097154668895247,Success,4,0.822893011150519,9.72%
483,WBD,0.030110773439182,Success,4,0.832475111568829,3.01%
14,ARE,0.01974478130168,Success,4,0.83640434300206,1.97%
215,GM,0.053607859269228,Success,4,0.838777128848511,5.36%
107,C,,Success,4,0.893887397959661,nan%
257,IVZ,0.036987283665813,Success,4,0.897446424172756,3.70%
218,GPN,0.031060950281917,Success,4,0.931989654099188,3.11%
179,EG,,Success,4,0.949395869426334,nan%
108,CFG,,Success,4,0.964886010556658,nan%
154,DOW,0.076046798735413,Success,4,1.00415483977128,7.60%
453,TFC,,Success,4,1.01433103599169,nan%
117,CAG,0.070254480256696,Success,4,1.02794997862334,7.03%
146,FANG,0.140059674640124,Success,4,1.03107683091209,14.01%
76,BG,0.1286469452759,Success,4,1.03200583047163,12.86%
199,F,0.03314147399239,Success,4,1.03436092218002,3.31%
320,MHK,0.060586527916963,Success,4,1.04467647808932,6.06%
319,MRNA,0.876338348621562,Success,4,1.0458571310322,87.63%
204,BEN,0.061343436451194,Success,4,1.06146200569171,6.13%
27,AIG,,Success,4,1.06622605880766,nan%
455,TSN,0.069390200008582,Success,4,1.08419827335338,6.94%
249,INTC,0.053418643399231,Success,4,1.0906407905916,5.34%
370,PCG,0.067127463457178,Success,4,1.12352460841808,6.71%
293,L,,Success,4,1.14030515542077,nan%
252,IFF,0.026528411805059,Success,4,1.16886120996441,2.65%
62,BIIB,0.114211358702429,Success,4,1.18176678915252,11.42%
13,ALB,0.113159344291824,Success,4,1.19405288609939,11.32%
297,MTB,,Success,4,1.19606821326529,nan%
134,CVS,0.067230285541224,Success,4,1.20372341296481,6.72%
382,PRU,,Success,4,1.20967834743081,nan%
271,KEY,,Success,4,1.23635946813388,nan%
129,CTRA,0.110005473426457,Success,4,1.24993447607066,11.00%
183,EXE,0.270177061846218,Success,4,1.25979561580006,27.02%
229,HPE,0.069572330175394,Success,4,1.26590810810811,6.96%
291,LKQ,0.099753361812819,Success,4,1.27289594189168,9.98%
116,CMCSA,0.071386129782211,Success,4,1.2877052310042,7.14%
474,VICI,0.072286082422467,Success,4,1.31125361695472,7.23%
421,SWK,0.106490885907955,Success,4,1.32623966942149,10.65%
416,SW,0.089615623754058,Success,4,1.3324418141467,8.96%
399,RVTY,0.043445419081367,Success,4,1.33271238106968,4.34%
56,BAC,,Success,4,1.33513346082366,nan%
83,COF,,Success,4,1.3377260747069,nan%
42,ADM,0.079966262012352,Success,4,1.33963919621648,8.00%
159,EMN,0.097714044115787,Success,4,1.35199464946101,9.77%
